,_Index,relation_num,active_level
847,847,1080,1
848,848,1094,1
849,849,1118,1
850,850,1148,1
851,851,1172,1
852,852,1172,1
853,853,1178,1
854,854,1212,1
855,855,1232,2
856,856,1286,2
857,857,1294,2
858,858,1284,2
859,859,1330,2
860,860,1318,2
861,861,1362,2
862,862,1382,2
863,863,1410,2
864,864,1418,2
865,865,1448,2
866,866,1442,2
867,867,1480,2
868,868,1502,2
869,869,1506,2
870,870,1526,2
871,871,1572,2
872,872,1566,2
873,873,1614,2
874,874,1622,2
875,875,1652,2
876,876,1654,2
877,877,1656,2
878,878,1612,2
879,879,1620,2
880,880,1652,2
881,881,1652,2
882,882,1626,2
883,883,1618,2
884,884,1652,2
885,885,1638,2
886,886,1646,2
887,887,1642,2
888,888,1636,2
889,889,1658,2
890,890,1622,2
891,891,1612,2
892,892,1648,2
893,893,1612,2
894,894,1644,2
895,895,1642,2
896,896,1652,2
897,897,1614,2
898,898,1606,2
899,899,1632,2
900,900,1618,2
901,901,1656,2
902,902,1646,2
903,903,1642,2
904,904,1658,2
905,905,1624,2
906,906,1626,2
907,907,1642,2
908,908,1640,2
909,909,1618,2
910,910,1648,2
911,911,1636,2
912,912,1650,2
913,913,1644,2
914,914,1654,2
915,915,1642,2
916,916,1648,2
917,917,1626,2
918,918,1632,2
919,919,1630,2
920,920,1672,2
921,921,1638,2
922,922,1652,2
923,923,1630,2
924,924,1606,2
925,925,1646,2
926,926,1626,2
927,927,1604,2
928,928,1628,2
929,929,1614,2
930,930,1652,2
931,931,1610,2
932,932,1616,2
933,933,1630,2
934,934,1636,2
935,935,1632,2
936,936,1622,2
937,937,1632,2
938,938,1630,2
939,939,1640,2
940,940,1604,2
941,941,1642,2
942,942,1630,2
943,943,1636,2
944,944,1606,2
945,945,1624,2
946,946,1636,2
947,947,1644,2
948,948,1652,2
949,949,1640,2
950,950,1630,2
951,951,1638,2
952,952,1626,2
953,953,1642,2
954,954,1612,2
955,955,1636,2
956,956,1628,2
957,957,1614,2
958,958,1622,2
959,959,1634,2
960,960,1648,2
961,961,1620,2
962,962,1622,2
963,963,1650,2
964,964,1662,2
965,965,1648,2
966,966,1638,2
967,967,1624,2
968,968,1634,2
969,969,1642,2
970,970,1624,2
971,971,1630,2
972,972,1652,2
973,973,1664,2
974,974,1656,2
975,975,1638,2
976,976,1622,2
977,977,1628,2
978,978,1640,2
979,979,1632,2
980,980,1612,2
981,981,1630,2
982,982,1628,2
983,983,1620,2
984,984,1614,2
985,985,1598,2
986,986,1614,2
987,987,1652,2
988,988,1602,2
989,989,1624,2
990,990,1606,2
991,991,1628,2
992,992,1638,2
993,993,1640,2
994,994,1626,2
995,995,1604,2
996,996,1614,2
997,997,1596,2
998,998,1644,2
999,999,1614,2
1000,1000,1628,2
1001,1001,1644,2
1002,1002,1618,2
1003,1003,1640,2
1004,1004,1624,2
1005,1005,1606,2
1006,1006,1626,2
1007,1007,1622,2
1008,1008,1626,2
1009,1009,1620,2
1010,1010,1658,2
1011,1011,1666,2
1012,1012,1632,2
1013,1013,1646,2
1014,1014,1626,2
1015,1015,1612,2
1016,1016,1656,2
1017,1017,1632,2
1018,1018,1614,2
1019,1019,1602,2
1020,1020,1632,2
1021,1021,1662,2
1022,1022,1642,2
1023,1023,1608,2
1024,1024,1668,2
1025,1025,1630,2
1026,1026,1626,2
1027,1027,1610,2
1028,1028,1582,2
1029,1029,1566,2
1030,1030,1550,2
1031,1031,1572,2
1032,1032,1518,2
1033,1033,1550,2
1034,1034,1530,2
1035,1035,1504,2
1036,1036,1470,2
1037,1037,1494,2
1038,1038,1440,2
1039,1039,1424,2
1040,1040,1468,2
1041,1041,1410,2
1042,1042,1410,2
1043,1043,1406,2
1044,1044,1402,2
1045,1045,1384,2
1046,1046,1370,2
1047,1047,1366,2
1048,1048,1356,2
1049,1049,1348,2
1050,1050,1338,2
1051,1051,1324,2
1052,1052,1288,2
1053,1053,1304,2
1054,1054,1310,2
1055,1055,1274,2
